,actual_brent_price,forecast_brent_price,CPI__USA_M_FGI,D_EU_LIQUIDS,D_NA_LIQUIDS,D_NONOECD_LIQUIDS,D_OECD_LIQUIDS,D_WOR_LIQUIDS,INVCHANGE_WOR_LIQUIDS,IP__EUN_M_FGI,IP__OECD_M_FGI,IP__USA_M_FGI,IP__WOR_M_FGI,IP__XOECD_M_FGI,IP_OECD_M_FGI,IP_USA_M_FGI,IP_WOR_M_FGI,IP_XOECD_M_FGI,P_NA_CRUDE,P_NONOPEC_CRUDE,P_NONOPEC_LIQUIDS,P_OPEC_CRUDE,P_OPEC_LIQUIDS,P_WOR_CRUDE,P_WOR_LIQUIDS,POILBNT_WOR_M_FGI,RMSHORT_EUN_M_FGI,RMSHORT_OECD_M_FGI,RMSHORT_USA_M_FGI,RMSHORT_WOR_M_FGI,RMSHORT_XOECD_M_FGI,RMSPREAD_EUN_M_FGI,RMSPREAD_OECD_M_FGI,RMSPREAD_USA_M_FGI,RMSPREAD_WOR_M_FGI,RMSPREAD_XOECD_M_FGI,RU_OECD_M_FGI,RU_USA_M_FGI,RU_WOR_M_FGI,RU_XOECD_M_FGI,RU_EUN_M_FGI,RX_EUN_M_FGI,RX_OECD_M_FGI,RX_WOR_M_FGI,RX_XOECD_M_FGI
0,25.22,25.996254776716235,2.7929568910000007,15.74305785,21.07299129,28.105874410000002,48.02181102,76.37474995,-1.1484838640000001,2.72972252,4.384431244,4.830395622999999,4.564540267999999,5.54208471,97.88906582999999,100.3417484,85.46019748,51.94116387,7.878168444,39.023486610000006,43.75400923,26.23909371,29.331884139999996,65.26258032,75.47333061,25.22,4.437147035,4.288397338,5.32,5.448889475,11.42874779,1.790457402,1.585383266,1.34,1.6848108330000002,2.3686256379999997,6.737228482999999,4.0,7.588528057999999,10.1486341,9.825523084,123.9080019,112.1342236,107.8062543,91.20425671
1,27.63,29.613437072038653,3.2179720700000005,16.76229359,21.78978597,28.470809570000004,49.95372399,78.36922321,-2.410709295,5.229883168,5.063940076999998,4.577344011000001,5.476160685000001,7.766167204000001,98.48311282,100.63116579999999,85.978842,52.25645868,7.951886772000001,38.85518172,43.58926881,26.81221358,29.90703327,65.66739529,75.90320357,27.63,4.653877833,4.441038106000001,5.55,5.580827402000001,11.25609013,1.5483702869999998,1.346601411,0.97,1.439622476,2.059451995,6.76439496,4.1,7.606155283,10.13060142,9.804171927,127.51949509999999,114.1725534,109.4916308,91.617754
2,27.47,28.59831953644753,3.7621359219999992,16.57765944,21.255703600000004,27.89325788,48.87263747,76.76589535,-0.8800773669999999,5.151807641000001,5.064345993999999,4.80816021,5.324125393999999,6.706233421,99.02178198,101.03424869999999,86.54432273,52.900247220000004,7.9352822320000005,38.93076679,43.6464027,26.84151346,29.938362409999996,65.77228025,75.94346314,27.47,4.785986174,4.498547783999999,5.69,5.579737413999999,10.93645453,1.180042389,1.08158118,0.5699999999999998,1.169902191,1.7547873440000004,6.693707037,4.0,7.52242391,10.01063289,9.773739959,129.7525089,114.39088570000001,109.6689713,91.64933344
3,22.54,25.053055644035343,3.013863773,15.60265625,20.90463825,27.540262180000003,46.84242611,74.38268829,2.2037038809999996,5.591351975,6.128706589,5.302800692,6.106763872,6.002941534999998,99.75415553999999,101.77058079999999,86.9959635,52.58373986,7.949118733,38.76307767,43.43369418,27.46152483,30.56040304,66.2246025,76.42159217,22.54,4.896583849,4.535369858999999,5.66,5.605383174,10.871490769999998,0.9353084449999999,0.916377215,0.33,1.004286312,1.5836186089999997,6.226125862000002,3.7999999999999994,7.689415597999999,12.068928729999998,9.602036185,131.6515569,114.79594979999999,110.09620749999999,92.14731554
4,27.4,30.867209615707402,3.13253012,15.759509339999997,21.70221861,27.790360059999998,48.05896726,75.84932732,1.0678103349999999,6.768709383999998,5.929875391,4.729039551000002,6.327631768000001,8.454843812,100.35805040000001,101.9584314,87.76912027,53.827691849999994,7.9891180120000005,38.56378001,43.21036437,28.02873301,31.12964048,66.59251302,76.91716992,27.4,5.211453038,4.756311245,5.79,5.751692885,10.60607917,0.759532433,0.944119185,0.6499999999999999,1.0835570690000003,1.9937466000000001,6.2351506510000005,4.0,7.682834625,12.01705305,9.602389414,137.7506733,117.32638359999999,112.32006840000001,93.2816407
5,29.68,30.079276717901234,3.7349397590000004,16.06609082,22.19216535,28.09930935,48.29955676,76.39886611,0.14873219200000032,4.802389693999999,5.759945445999999,4.9955340470000005,6.229885566000002,8.711542433,100.4159252,102.0515077,87.93427138,54.28913478,7.975150387999999,38.72499021,43.38363819,27.5179913,30.62092802,66.24298151,76.68066497,29.680000000000003,5.298937908,4.769415924,5.69,5.760664175,10.62919224,0.4884447320000001,0.6941946010000001,0.41000000000000003,0.8440101529999999,1.829486415,6.210597445,4.0,7.672480831000001,12.0500884,9.535063015,132.7355367,115.4533277,110.9435634,93.64219211
6,28.51,28.455581320524217,3.5992801439999997,15.726713390000002,21.8384029,28.27413181,47.71741865,75.99155046,1.1421892020000002,4.63522002,5.132873346999999,4.194069578000001,5.698796448999999,8.716040028000002,100.4780708,101.9104605,87.99571019,54.34914654,7.851410619,38.93357413,43.54845823,27.81589387,30.920859850000003,66.74946800000001,77.23222353,28.51,5.373252392,4.893889513,5.96,5.8140351,10.26828772,0.47965124600000003,0.552938255,0.09000000000000002,0.675849468,1.471642606,6.176657499,4.0,7.506381512999999,11.488572660000003,9.494556548,133.80110349999998,116.01937340000002,111.4906192,94.11513598
7,29.89,31.624936408996586,3.3512866549999996,16.75476764,22.70307729,28.34164652,50.01515047,78.35679698,-0.9946156420000001,5.051001535999999,5.323441228,3.438542496000002,5.916778757999998,9.044848844,100.8166512,101.58602020000001,88.40182687,54.94568551999999,7.86713914,38.82801592,43.37768309,28.31475739,31.421752629999997,67.14277331,77.5092136,29.89,5.542040985,5.0492513269999995,6.09,5.950927667,10.27402339,0.3161832049999999,0.35766274299999995,-0.26000000000000006,0.476474415,1.2405485599999997,6.222127314,4.1,7.515057597,11.38684349,9.458858351,138.28427380000002,117.3608342,112.57308529999999,94.29508908
8,32.62,32.457515727281574,3.456495828,16.61798984,22.10149997,28.392334030000004,49.244824200000004,77.63715823,0.12013942899999963,4.203849308999998,4.534180141999999,4.2753653850000015,5.095966464999999,8.032632615,100.5081234,102.0023694,88.19039358,55.00108537,7.88013835,38.89272393,43.43927993,28.469373960000002,31.57839847,67.36209789,77.70283099,32.62,5.621092253,5.046962263,6.0,5.966828463,10.3168689,0.3144791740000001,0.35380574299999995,-0.2,0.4551131849999999,1.1041596869999997,6.161313706000001,3.9,7.429372754,11.2259687,9.418002488,143.45000469999997,118.68195940000001,113.77149100000001,95.05630923
9,30.93,32.22984747111798,3.450327186,16.70637794,22.07843647,28.09533629,48.83066943,76.92600572,1.6067082859999995,3.6404981680000006,4.012620689,2.6171949460000015,4.662059047,8.07994031,100.72709880000001,101.6967141,88.38380687000002,55.12575145,7.893332555,38.8559624,43.40796381,29.106728639999996,32.2177824,67.96269104,78.35197207,30.929999999999996,5.761916423,5.203924615,6.11,6.125992652000001,10.47694234,0.11058427200000001,0.17403432300000002,-0.37,0.280067993,0.9584160040000002,6.093120665999999,3.9,7.300017904,10.91305413,9.310964006,145.50334030000002,119.8209398,114.8948423,96.10548167
10,32.52,33.40341356992722,3.444180523,16.68572438,21.666056100000002,28.41653753,48.92317925,77.33971678,2.2550716669999997,4.276587513000001,3.577058668000002,2.1477447140000008,4.153832268999999,7.1655997529999995,101.0296718,101.7143317,88.70599854,55.50731552999999,7.972338062,39.49639956,44.08052426,29.28116925,32.39222301,68.77756881,78.99382178,32.52,5.791088273,5.305155276,6.17,6.268797367,10.80721415,0.03795897399999995,0.026868092000000007,-0.44999999999999996,0.127393527,0.7698778499999999,6.063272446,3.9,7.257077183,10.82878972,9.257077312999998,145.8424906,120.16810430000001,115.367176,96.99080652
11,25.28,27.081596771478655,3.436018957,16.41510838,22.99329123,28.73051358,50.68780402,79.4183176,-2.378582942,5.203412433000002,3.4587336370000004,1.0947272229999991,3.8838771810000012,6.086467905999999,101.1831625,101.4383929,88.84471111,55.60672626,8.011583023,39.7469875,44.0713193,27.38836785,30.49942161,67.13535535,76.95550885,25.28,5.648376111,5.104202922,5.77,6.073782672,10.6452606,-0.06439631799999997,-0.05803525900000001,-0.53,0.06737606999999998,0.869569566,6.087292402999998,3.9,7.23721154,10.674621779999999,9.205430155,139.8071866,119.0210239,114.53537879999999,97.24613555
